# b blocks_per_chain total_blocks mean_E_per_site SEM_E_per_site SEM_Im_E_per_site V_total JK_SEM_V_total JK_biascorrected_V_total
# Blocks never cross MPI chains.
# SEM valid only for equilibrated, approximately independent blocks; inspect plateau.
         1       32768             8388608  -4.8558404568894675E-001   2.6417159733581546E-006   1.3867672289089834E-006   4.8938086505829848E+000   2.1878184716191240E-002   4.8938091079366588E+000
         2       16384             4194304  -4.8558404568894675E-001   2.7239367703022904E-006   1.3912948779264695E-006   4.8938086505829848E+000   2.1998800340635200E-002   4.8938091368490610E+000
         4        8192             2097152  -4.8558404568894675E-001   2.7777050221638847E-006   1.3942143908107120E-006   4.8938086505829848E+000   2.2088591555793860E-002   4.8938091562355055E+000
         8        4096             1048576  -4.8558404568894675E-001   2.8070702868755375E-006   1.3963056857915911E-006   4.8938086505829848E+000   2.2146362406384096E-002   4.8938091669833046E+000
        16        2048              524288  -4.8558404568894675E-001   2.8201651050841278E-006   1.3976918006675688E-006   4.8938086505829848E+000   2.2181872295679032E-002   4.8938091718124967E+000
        32        1024              262144  -4.8558404568894675E-001   2.8250984078247243E-006   1.4003560033321012E-006   4.8938086505829848E+000   2.2183489062705394E-002   4.8938091736376617E+000
        64         512              131072  -4.8558404568894675E-001   2.8277051193887869E-006   1.4016595840899401E-006   4.8938086505829848E+000   2.2196061290758864E-002   4.8938091746033487E+000
       128         256               65536  -4.8558404568894675E-001   2.8328806809769769E-006   1.4006087671029407E-006   4.8938086505829848E+000   2.2183561506537289E-002   4.8938091765233382E+000
       256         128               32768  -4.8558404568894675E-001   2.8396971481179628E-006   1.3936203219672081E-006   4.8938086505829848E+000   2.2223469277561733E-002   4.8938091790574152E+000
       512          64               16384  -4.8558404568894675E-001   2.8511496850247370E-006   1.3934173468512866E-006   4.8938086505829848E+000   2.2231967793297301E-002   4.8938091833286999E+000
      1024          32                8192  -4.8558404568894675E-001   2.8674001889475826E-006   1.3903046405824079E-006   4.8938086505829848E+000   2.2171090771727381E-002   4.8938091894189153E+000
      2048          16                4096  -4.8558404568894675E-001   2.8601355928375655E-006   1.4049041201673839E-006   4.8938086505829848E+000   2.2049200533044568E-002   4.8938091866920779E+000
      4096           8                2048  -4.8558404568894675E-001   2.8868556165314037E-006   1.3635712070383916E-006   4.8938086505829848E+000   2.2089667091448311E-002   4.8938091967557691E+000
      8192           4                1024  -4.8558404568894675E-001   2.9102657208432434E-006   1.3327034431818739E-006   4.8938086505829848E+000   2.2014106181633554E-002   4.8938092056497409E+000
     16384           2                 512  -4.8558404568894675E-001   2.9160647836004237E-006   1.3778872759623936E-006   4.8938086505829848E+000   2.1845162110079561E-002   4.8938092078640212E+000
     32768           1                 256  -4.8558404568894675E-001   2.8891780023232759E-006   1.3269087049552348E-006   4.8938086505829848E+000   2.2129609899483291E-002   4.8938091976348828E+000
