NVIDIA A100 80GB PCIe, 81920 MiB
devices: [CudaDevice(id=0)]
gcnn on Heisenberg/triangular_36_P: 7232 parameters, n_conn 108
step     0  t=    28.5s  E=107.957738 ± 0.031091  var=3.9315  tau=0.00  Rhat=1.118
step  1440  t=   804.2s  E=nan ± nan  var=nan  tau=nan  Rhat=nan
step  1460  t=   813.9s  E=nan ± nan  var=nan  tau=nan  Rhat=nan
step  1480  t=   823.6s  E=nan ± nan  var=nan  tau=nan  Rhat=nan
step  1500  t=   833.2s  E=nan ± nan  var=nan  tau=nan  Rhat=nan
step  1520  t=   842.9s  E=nan ± nan  var=nan  tau=nan  Rhat=nan
step  1540  t=   852.6s  E=nan ± nan  var=nan  tau=nan  Rhat=nan
step  1560  t=   862.3s  E=nan ± nan  var=nan  tau=nan  Rhat=nan
step  1580  t=   871.9s  E=nan ± nan  var=nan  tau=nan  Rhat=nan
step  1600  t=   881.6s  E=nan ± nan  var=nan  tau=nan  Rhat=nan
step  1620  t=   891.3s  E=nan ± nan  var=nan  tau=nan  Rhat=nan
step  1640  t=   901.0s  E=nan ± nan  var=nan  tau=nan  Rhat=nan
step  1660  t=   910.7s  E=nan ± nan  var=nan  tau=nan  Rhat=nan
step  1680  t=   920.3s  E=nan ± nan  var=nan  tau=nan  Rhat=nan
step  1700  t=   930.0s  E=nan ± nan  var=nan  tau=nan  Rhat=nan
step  1720  t=   939.7s  E=nan ± nan  var=nan  tau=nan  Rhat=nan
step  1740  t=   949.4s  E=nan ± nan  var=nan  tau=nan  Rhat=nan
step  1760  t=   959.0s  E=nan ± nan  var=nan  tau=nan  Rhat=nan
step  1780  t=   968.7s  E=nan ± nan  var=nan  tau=nan  Rhat=nan
step  1800  t=   978.4s  E=nan ± nan  var=nan  tau=nan  Rhat=nan
step  1820  t=   988.1s  E=nan ± nan  var=nan  tau=nan  Rhat=nan
step  1840  t=   997.8s  E=nan ± nan  var=nan  tau=nan  Rhat=nan
step  1860  t=  1007.4s  E=nan ± nan  var=nan  tau=nan  Rhat=nan
step  1880  t=  1017.1s  E=nan ± nan  var=nan  tau=nan  Rhat=nan
step  1900  t=  1026.8s  E=nan ± nan  var=nan  tau=nan  Rhat=nan
step  1920  t=  1036.5s  E=nan ± nan  var=nan  tau=nan  Rhat=nan
step  1940  t=  1046.1s  E=nan ± nan  var=nan  tau=nan  Rhat=nan
step  1960  t=  1055.8s  E=nan ± nan  var=nan  tau=nan  Rhat=nan
step  1980  t=  1065.5s  E=nan ± nan  var=nan  tau=nan  Rhat=nan
FINAL gcnn Heisenberg/triangular_36_P: E = nan ± nan (Pauli, total), E/N = nan S.S, var nan, tau nan, Rhat nan; wall 00:18:11 on 1 x NVIDIA A100 80GB PCIe; 7232 parameters, 2000 steps x 4096 samples
DONE gcnn-tri-36 2026-09-21T11:00:45Z
