arxiv	doi	year	seeds	venue	title
2306.17216	10.1103/physrevb.108.205110	2023	ftps		Equilibrium quantum impurity problems via matrix product state encoding of the retarded action
2312.11705	10.1103/physrevb.109.155124	2024	ftps		Complex time evolution in tensor networks and time-dependent Green's functions
2305.11128	10.1103/physrevb.108.245147	2023	ftps		Accuracy of ghost-rotationally-invariant slave-boson theory for multiorbital Hubbard models and realistic materials
2411.19026	10.1103/physrevb.111.125120	2025	ftps		Strong coupling impurity solver based on quantics tensor cross interpolation
2401.04880	10.1103/physrevb.109.165113	2024	ftps		Real-time impurity solver using Grassmann time-evolving matrix product operators
2404.05410	10.1103/physrevb.110.165114	2024	ftps		Solving equilibrium quantum impurity problems on the L-shaped Kadanoff-Baym contour
2311.10909	10.1103/physrevb.109.235110	2024	ftps		Dynamical correlation functions from complex time evolution
2502.18630	10.1103/8993-8xn5	2025	ftps		Optimal symbolic construction of matrix product operators and tree tensor network operators
2503.02848	10.1103/xsbn-jk16	2025	ftps		Steady-state dynamical mean field theory based on influence functional matrix product states
2105.06971	10.1103/physrevb.104.045127	2021	ftps		Dynamical mean-field theory of the Anderson-Hubbard model with local and nonlocal disorder in tensor formulation
2201.03099	10.1103/physrevb.105.165133	2022	ftps		Interaction-expansion inchworm Monte Carlo solver for lattice and impurity models
	10.1103/physrevmaterials.6.075002	2022	ftps		Electronic structure of the highly conductive perovskite oxide SrMoO 3
2403.16700	10.1103/physrevb.110.045106	2024	ftps		Infinite Grassmann time-evolving matrix product operator method in the steady state
2111.04408	10.1103/physrevb.105.235106	2022	ftps		Effect of geometry on magnetism of Hund's metals: Case study of BaRuO 3
2210.11209	10.1103/physrevb.108.l081102	2023	ftps		Hund bands in spectra of multiorbital systems
2311.13433	10.21468/scipostphyscore.7.2.036	2024	ftps		State diagrams to determine tree tensor network operators
