arxiv	peer_reviewed	title	instance	verdict	eps	err	rel_pct	kind	convention	src	table	row_label	col_header	sizes	note	record_eps	record_method	exact_eps	caption
2502.17144	no	Leveraging recurrence in neural network wavefunctions for large-scale simulations of Heisenberg antiferromagnets on the square lattice	Hubbard/square_100_PA_50_6	WEAKER	-0.628638	0.000004	4.404	variational?		html	4	10 × 10	E / N	10x10,L=6,L=10	filling=UNSTATED(instance delta=0.0000)	-0.6576000000000001	AFQMC, sign-problem-free at half filling (tau = 0.01, Trotter error below the statistical error)	-0.6576000000000001	Table 5: Neural quantum state results for the SLAHM on lattices with L = 6 and L = 10 . For simplicity, only the first NQS results and NQS results which improved upon existing variational energies were included in this table. The results we present in this work are in bold. The zero-variance energie
2502.17144	no	Leveraging recurrence in neural network wavefunctions for large-scale simulations of Heisenberg antiferromagnets on the square lattice	Hubbard/square_100_PA_50_6	WEAKER	-0.628627	0.000001	4.406	variational?		html	4	open	E / N	L=6,L=10	filling=UNSTATED(instance delta=0.0000)	-0.6576000000000001	AFQMC, sign-problem-free at half filling (tau = 0.01, Trotter error below the statistical error)	-0.6576000000000001	Table 5: Neural quantum state results for the SLAHM on lattices with L = 6 and L = 10 . For simplicity, only the first NQS results and NQS results which improved upon existing variational energies were included in this table. The results we present in this work are in bold. The zero-variance energie
2308.11823	yes	Solving Fermi-Hubbard-type Models by Tensor Representations of Backflow Corrections	Hubbard/square_100_PA_50_6	WEAKER	-0.6134		6.721	variational?		pdf	0	0.45	p=1	10x10	filling=UNSTATED(instance delta=0.0000)	-0.6576000000000001	AFQMC, sign-problem-free at half filling (tau = 0.01, Trotter error below the statistical error)	-0.6576000000000001	TABLE I. Comparisons of energies(per site) for the spinless TABLE II. Comparisons of energies achieved by several meth- t NA V model on 10 × 10 square lattice under OBC, total par- ods for molecules under the STO-3G basis. M is the equiva- ticle number is 50. p=0(p=1) denotes the wave-function be- l
2308.11823	yes	Solving Fermi-Hubbard-type Models by Tensor Representations of Backflow Corrections	Hubbard/square_100_PA_50_6	WEAKER	-0.6132		6.752	variational?		pdf	0	0.45	p=0	10x10	filling=UNSTATED(instance delta=0.0000)	-0.6576000000000001	AFQMC, sign-problem-free at half filling (tau = 0.01, Trotter error below the statistical error)	-0.6576000000000001	TABLE I. Comparisons of energies(per site) for the spinless TABLE II. Comparisons of energies achieved by several meth- t NA V model on 10 × 10 square lattice under OBC, total par- ods for molecules under the STO-3G basis. M is the equiva- ticle number is 50. p=0(p=1) denotes the wave-function be- l
2308.11823	yes	Solving Fermi-Hubbard-type Models by Tensor Representations of Backflow Corrections	Hubbard/square_100_PA_50_6	WEAKER	-0.6129		6.797	variational?		pdf	0	0.45	fPEPS	10x10	filling=UNSTATED(instance delta=0.0000)	-0.6576000000000001	AFQMC, sign-problem-free at half filling (tau = 0.01, Trotter error below the statistical error)	-0.6576000000000001	TABLE I. Comparisons of energies(per site) for the spinless TABLE II. Comparisons of energies achieved by several meth- t NA V model on 10 × 10 square lattice under OBC, total par- ods for molecules under the STO-3G basis. M is the equiva- ticle number is 50. p=0(p=1) denotes the wave-function be- l
2308.11823	yes	Solving Fermi-Hubbard-type Models by Tensor Representations of Backflow Corrections	Hubbard/square_100_PA_50_6	WEAKER	-0.6103		7.193	variational?		pdf	0	0.45	V      HF	10x10	filling=UNSTATED(instance delta=0.0000)	-0.6576000000000001	AFQMC, sign-problem-free at half filling (tau = 0.01, Trotter error below the statistical error)	-0.6576000000000001	TABLE I. Comparisons of energies(per site) for the spinless TABLE II. Comparisons of energies achieved by several meth- t NA V model on 10 × 10 square lattice under OBC, total par- ods for molecules under the STO-3G basis. M is the equiva- ticle number is 50. p=0(p=1) denotes the wave-function be- l
2502.17144	no	Leveraging recurrence in neural network wavefunctions for large-scale simulations of Heisenberg antiferromagnets on the square lattice	Hubbard/square_100_PA_50_6	WEAKER	-0.603517	0.000006	8.224	variational?		html	4	This work (best RNN)	E / N	L=6,L=10	filling=UNSTATED(instance delta=0.0000)	-0.6576000000000001	AFQMC, sign-problem-free at half filling (tau = 0.01, Trotter error below the statistical error)	-0.6576000000000001	Table 5: Neural quantum state results for the SLAHM on lattices with L = 6 and L = 10 . For simplicity, only the first NQS results and NQS results which improved upon existing variational energies were included in this table. The results we present in this work are in bold. The zero-variance energie
2502.17144	no	Leveraging recurrence in neural network wavefunctions for large-scale simulations of Heisenberg antiferromagnets on the square lattice	Hubbard/square_100_PA_50_6	WEAKER	-0.603516	0.000001	8.224	variational?		html	4	RNN [ 38 ]	E / N	L=6,L=10	filling=UNSTATED(instance delta=0.0000)	-0.6576000000000001	AFQMC, sign-problem-free at half filling (tau = 0.01, Trotter error below the statistical error)	-0.6576000000000001	Table 5: Neural quantum state results for the SLAHM on lattices with L = 6 and L = 10 . For simplicity, only the first NQS results and NQS results which improved upon existing variational energies were included in this table. The results we present in this work are in bold. The zero-variance energie
2502.17144	no	Leveraging recurrence in neural network wavefunctions for large-scale simulations of Heisenberg antiferromagnets on the square lattice	Hubbard/square_100_PA_50_6	WEAKER	-0.60351496	1e-8	8.225	variational?		html	4	6 × 6	E / N	6x6,L=6,L=10	filling=UNSTATED(instance delta=0.0000)	-0.6576000000000001	AFQMC, sign-problem-free at half filling (tau = 0.01, Trotter error below the statistical error)	-0.6576000000000001	Table 5: Neural quantum state results for the SLAHM on lattices with L = 6 and L = 10 . For simplicity, only the first NQS results and NQS results which improved upon existing variational energies were included in this table. The results we present in this work are in bold. The zero-variance energie
2502.17144	no	Leveraging recurrence in neural network wavefunctions for large-scale simulations of Heisenberg antiferromagnets on the square lattice	Hubbard/square_100_PA_50_6	WEAKER	-0.603417		8.240	variational?		html	4	open	E / N	L=6,L=10	filling=UNSTATED(instance delta=0.0000)	-0.6576000000000001	AFQMC, sign-problem-free at half filling (tau = 0.01, Trotter error below the statistical error)	-0.6576000000000001	Table 5: Neural quantum state results for the SLAHM on lattices with L = 6 and L = 10 . For simplicity, only the first NQS results and NQS results which improved upon existing variational energies were included in this table. The results we present in this work are in bold. The zero-variance energie
2606.00924	no	Locality-Induced Hierarchical Backflow Wavefunctions for Correlated Fermions	Hubbard/square_100_PA_50_4	WEAKER	-0.658	0.0002	23.666	projected?		pdf	2	10 × 10	QMC	10x10	filling=UNSTATED(instance delta=0.0000)	-0.862	AFQMC, sign-problem-free at half filling (tau = 0.01, Trotter error below the statistical error)	-0.862	TABLE II. Energies per site for the Hubbard model at half-ﬁlling under periodic boundary conditions, for U = 2, 4, 6, and 8. For U = 8, results are shown for HB depths K = 0, 1, and 2. The energy sampling errors are around 0.0003. Reference energies are from AFQMC [43]. Size U = 2 U = 4 U = 6 U = 8 
2606.00924	no	Locality-Induced Hierarchical Backflow Wavefunctions for Correlated Fermions	Hubbard/square_100_PA_50_4	WEAKER	-0.655		24.014	variational?		pdf	2	10 × 10	K = 1	10x10	filling=UNSTATED(instance delta=0.0000)	-0.862	AFQMC, sign-problem-free at half filling (tau = 0.01, Trotter error below the statistical error)	-0.862	TABLE II. Energies per site for the Hubbard model at half-ﬁlling under periodic boundary conditions, for U = 2, 4, 6, and 8. For U = 8, results are shown for HB depths K = 0, 1, and 2. The energy sampling errors are around 0.0003. Reference energies are from AFQMC [43]. Size U = 2 U = 4 U = 6 U = 8 
2511.07566	no	Superconductivity in the two-dimensional Hubbard model revealed by neural quantum states	Hubbard/square_100_PA_50_6	SUB-EXACT	-0.76179	0.00005	-15.844	variational?		html	6	10	E/N	N=10,L=10	filling=UNSTATED(instance delta=0.0000)	-0.6576000000000001	AFQMC, sign-problem-free at half filling (tau = 0.01, Trotter error below the statistical error)	-0.6576000000000001	Table 7: Energy and variance per site of the lowest energy wavefunction on the 144 site cluster at various U
1905.02658	yes	Metallic and insulating stripes and their relation with superconductivity in the doped Hubbard model	Hubbard/square_100_PA_50_6	SUB-EXACT	-0.7027	0.0001	-6.858	variational?		pdf	0	10	E/t (Best stripe)	N=10,L=10	filling=UNSTATED(instance delta=0.0000)	-0.6576000000000001	AFQMC, sign-problem-free at half filling (tau = 0.01, Trotter error below the statistical error)	-0.6576000000000001	Table 1: Energies per site for the homogeneous state, the best striped state, as well the energy gain ∆E = Estripe NA Ehomogen between the best striped state and the homogeneous one, at dopings 1/p with p = 6, 8, 10, and 12. Error-bars are estimated in order to take into account the weak size depend
1905.02658	yes	Metallic and insulating stripes and their relation with superconductivity in the doped Hubbard model	Hubbard/square_100_PA_50_6	SUB-EXACT	-0.6966	0.0001	-5.931	variational?		pdf	0	10	p  E/t (Homogeneous)	N=10,L=10	filling=UNSTATED(instance delta=0.0000)	-0.6576000000000001	AFQMC, sign-problem-free at half filling (tau = 0.01, Trotter error below the statistical error)	-0.6576000000000001	Table 1: Energies per site for the homogeneous state, the best striped state, as well the energy gain ∆E = Estripe NA Ehomogen between the best striped state and the homogeneous one, at dopings 1/p with p = 6, 8, 10, and 12. Error-bars are estimated in order to take into account the weak size depend
2502.17144	no	Leveraging recurrence in neural network wavefunctions for large-scale simulations of Heisenberg antiferromagnets on the square lattice	Hubbard/square_100_PA_50_6	SUB-EXACT	-0.6715526	3e-8	-2.122	variational?		html	4	VMC - CNN+MinSR [ 12 ]	E / N	L=6,L=10	filling=UNSTATED(instance delta=0.0000)	-0.6576000000000001	AFQMC, sign-problem-free at half filling (tau = 0.01, Trotter error below the statistical error)	-0.6576000000000001	Table 5: Neural quantum state results for the SLAHM on lattices with L = 6 and L = 10 . For simplicity, only the first NQS results and NQS results which improved upon existing variational energies were included in this table. The results we present in this work are in bold. The zero-variance energie
2502.17144	no	Leveraging recurrence in neural network wavefunctions for large-scale simulations of Heisenberg antiferromagnets on the square lattice	Hubbard/square_100_PA_50_6	SUB-EXACT	-0.671519	0.000004	-2.117	variational?		html	4	10 × 10	E / N	10x10,L=6,L=10	filling=UNSTATED(instance delta=0.0000)	-0.6576000000000001	AFQMC, sign-problem-free at half filling (tau = 0.01, Trotter error below the statistical error)	-0.6576000000000001	Table 5: Neural quantum state results for the SLAHM on lattices with L = 6 and L = 10 . For simplicity, only the first NQS results and NQS results which improved upon existing variational energies were included in this table. The results we present in this work are in bold. The zero-variance energie
2502.17144	no	Leveraging recurrence in neural network wavefunctions for large-scale simulations of Heisenberg antiferromagnets on the square lattice	Hubbard/square_100_PA_50_6	SUB-EXACT	-0.67151	0.00002	-2.115	variational?		html	4	This work (best RNN)	E / N	L=6,L=10	filling=UNSTATED(instance delta=0.0000)	-0.6576000000000001	AFQMC, sign-problem-free at half filling (tau = 0.01, Trotter error below the statistical error)	-0.6576000000000001	Table 5: Neural quantum state results for the SLAHM on lattices with L = 6 and L = 10 . For simplicity, only the first NQS results and NQS results which improved upon existing variational energies were included in this table. The results we present in this work are in bold. The zero-variance energie
2502.17144	no	Leveraging recurrence in neural network wavefunctions for large-scale simulations of Heisenberg antiferromagnets on the square lattice	Hubbard/square_100_PA_50_6	SUB-EXACT	-0.67135		-2.091	variational?		html	4	periodic	E / N	L=6,L=10	filling=UNSTATED(instance delta=0.0000)	-0.6576000000000001	AFQMC, sign-problem-free at half filling (tau = 0.01, Trotter error below the statistical error)	-0.6576000000000001	Table 5: Neural quantum state results for the SLAHM on lattices with L = 6 and L = 10 . For simplicity, only the first NQS results and NQS results which improved upon existing variational energies were included in this table. The results we present in this work are in bold. The zero-variance energie
2507.02644	no	Solving the Hubbard model with Neural Quantum States	Hubbard/square_100_PA_50_6	WEAKER	-0.5254	0.0003	20.103	projected?		html	0	AFQMC	10 × 10	10x10		-0.6576000000000001	AFQMC, sign-problem-free at half filling (tau = 0.01, Trotter error below the statistical error)	-0.6576000000000001	Table S1 : Benchmark energy in pure Hubbard model at half-filling with PBC. NQS achieve comparable results with the numerically exact AFQMC values [ 47 ] .
2507.02644	no	Solving the Hubbard model with Neural Quantum States	Hubbard/square_100_PA_50_6	WEAKER	-0.52492		20.176	variational?		html	0	NQS	10 × 10	10x10		-0.6576000000000001	AFQMC, sign-problem-free at half filling (tau = 0.01, Trotter error below the statistical error)	-0.6576000000000001	Table S1 : Benchmark energy in pure Hubbard model at half-filling with PBC. NQS achieve comparable results with the numerically exact AFQMC values [ 47 ] .
2104.03632	yes	Can a CNN trained on the Ising model detect the phase transition of the $q$-state Potts model?	Hubbard/square_100_PA_50_6	WEAKER	-0.5211		20.757	variational?		pdf	0	10	transition type	N=10,L=10	filling=UNSTATED(instance delta=0.0000)	-0.6576000000000001	AFQMC, sign-problem-free at half filling (tau = 0.01, Trotter error below the statistical error)	-0.6576000000000001	Table 1: The transition temperatures of the q-state Potts models for various q. T∗c,q, E and M, respectively, denote the temperature, internal energy, and magnetization of the image for which the CNN outputs T CNNc = 1.1209. That is, these are the quantities of the generated image that the CNN predi
2308.11823	yes	Solving Fermi-Hubbard-type Models by Tensor Representations of Backflow Corrections	Hubbard/square_100_PA_50_6	WEAKER	-0.462		29.745	variational?		pdf	0	1	p=1	10x10	filling=UNSTATED(instance delta=0.0000)	-0.6576000000000001	AFQMC, sign-problem-free at half filling (tau = 0.01, Trotter error below the statistical error)	-0.6576000000000001	TABLE I. Comparisons of energies(per site) for the spinless TABLE II. Comparisons of energies achieved by several meth- t NA V model on 10 × 10 square lattice under OBC, total par- ods for molecules under the STO-3G basis. M is the equiva- ticle number is 50. p=0(p=1) denotes the wave-function be- l
2308.11823	yes	Solving Fermi-Hubbard-type Models by Tensor Representations of Backflow Corrections	Hubbard/square_100_PA_50_6	WEAKER	-0.4617		29.790	variational?		pdf	0	1	p=0	10x10	filling=UNSTATED(instance delta=0.0000)	-0.6576000000000001	AFQMC, sign-problem-free at half filling (tau = 0.01, Trotter error below the statistical error)	-0.6576000000000001	TABLE I. Comparisons of energies(per site) for the spinless TABLE II. Comparisons of energies achieved by several meth- t NA V model on 10 × 10 square lattice under OBC, total par- ods for molecules under the STO-3G basis. M is the equiva- ticle number is 50. p=0(p=1) denotes the wave-function be- l
2308.11823	yes	Solving Fermi-Hubbard-type Models by Tensor Representations of Backflow Corrections	Hubbard/square_100_PA_50_6	WEAKER	-0.4561		30.642	variational?		pdf	0	1	V      HF	10x10	filling=UNSTATED(instance delta=0.0000)	-0.6576000000000001	AFQMC, sign-problem-free at half filling (tau = 0.01, Trotter error below the statistical error)	-0.6576000000000001	TABLE I. Comparisons of energies(per site) for the spinless TABLE II. Comparisons of energies achieved by several meth- t NA V model on 10 × 10 square lattice under OBC, total par- ods for molecules under the STO-3G basis. M is the equiva- ticle number is 50. p=0(p=1) denotes the wave-function be- l
2404.07869	yes	Accurate neural quantum states for interacting lattice bosons	Hubbard/square_100_PA_50_6	WEAKER	-0.4068	0.0009	38.139	variational?		pdf	2	20.0 NQS-B [65] 206	10×10	10x10	filling=UNSTATED(instance delta=0.0000)	-0.6576000000000001	AFQMC, sign-problem-free at half filling (tau = 0.01, Trotter error below the statistical error)	-0.6576000000000001	
2606.00924	no	Locality-Induced Hierarchical Backflow Wavefunctions for Correlated Fermions	Hubbard/square_100_PA_50_4	WEAKER	-0.469		45.592	variational?		pdf	2	10 × 10	K = 0 (HF)	10x10	filling=UNSTATED(instance delta=0.0000)	-0.862	AFQMC, sign-problem-free at half filling (tau = 0.01, Trotter error below the statistical error)	-0.862	TABLE II. Energies per site for the Hubbard model at half-ﬁlling under periodic boundary conditions, for U = 2, 4, 6, and 8. For U = 8, results are shown for HB depths K = 0, 1, and 2. The energy sampling errors are around 0.0003. Reference energies are from AFQMC [43]. Size U = 2 U = 4 U = 6 U = 8 
2507.01856	no	Investigating the Fermi-Hubbard model by the tensor-backflow method	Hubbard/square_100_PA_50_6	SUB-EXACT	-0.8853		-34.626	variational?		pdf	10	10×10 all-site	Type	10x10,8x32	filling=UNSTATED(instance delta=0.0000)	-0.6576000000000001	AFQMC, sign-problem-free at half filling (tau = 0.01, Trotter error below the statistical error)	-0.6576000000000001	TABLE VII. Energy results for the fillingn=0.8 and FIG. 8. Density-density correlations forn=0.875,U=8 and n=0.9375, witht ′=0 under PBC. For all cases in the table, t′=0 on the 8×32 lattice under PBC. With NN backflow in initial UHFs are insufficiently optimized withU UHF =U. On the wave-function. 
2507.01856	no	Investigating the Fermi-Hubbard model by the tensor-backflow method	Hubbard/square_100_PA_50_6	SUB-EXACT	-0.8848		-34.550	variational?		pdf	10	8 10×10	Type	10x10,8x32	filling=UNSTATED(instance delta=0.0000)	-0.6576000000000001	AFQMC, sign-problem-free at half filling (tau = 0.01, Trotter error below the statistical error)	-0.6576000000000001	TABLE VII. Energy results for the fillingn=0.8 and FIG. 8. Density-density correlations forn=0.875,U=8 and n=0.9375, witht ′=0 under PBC. For all cases in the table, t′=0 on the 8×32 lattice under PBC. With NN backflow in initial UHFs are insufficiently optimized withU UHF =U. On the wave-function. 
2507.01856	no	Investigating the Fermi-Hubbard model by the tensor-backflow method	Hubbard/square_100_PA_50_6	SUB-EXACT	-0.8809		-33.957	variational?		pdf	10	10×10 all-site	Size	10x10,8x32	filling=UNSTATED(instance delta=0.0000)	-0.6576000000000001	AFQMC, sign-problem-free at half filling (tau = 0.01, Trotter error below the statistical error)	-0.6576000000000001	TABLE VII. Energy results for the fillingn=0.8 and FIG. 8. Density-density correlations forn=0.875,U=8 and n=0.9375, witht ′=0 under PBC. For all cases in the table, t′=0 on the 8×32 lattice under PBC. With NN backflow in initial UHFs are insufficiently optimized withU UHF =U. On the wave-function. 
2507.01856	no	Investigating the Fermi-Hubbard model by the tensor-backflow method	Hubbard/square_100_PA_50_6	SUB-EXACT	-0.8801		-33.835	variational?		pdf	10	8 10×10	Size	10x10,8x32	filling=UNSTATED(instance delta=0.0000)	-0.6576000000000001	AFQMC, sign-problem-free at half filling (tau = 0.01, Trotter error below the statistical error)	-0.6576000000000001	TABLE VII. Energy results for the fillingn=0.8 and FIG. 8. Density-density correlations forn=0.875,U=8 and n=0.9375, witht ′=0 under PBC. For all cases in the table, t′=0 on the 8×32 lattice under PBC. With NN backflow in initial UHFs are insufficiently optimized withU UHF =U. On the wave-function. 
2507.01856	no	Investigating the Fermi-Hubbard model by the tensor-backflow method	Hubbard/square_100_PA_50_6	SUB-EXACT	-0.8793		-33.714	variational?		pdf	10	0.8 10×20 NN	Type	10x20,8x32,10x10	filling=UNSTATED(instance delta=0.0000)	-0.6576000000000001	AFQMC, sign-problem-free at half filling (tau = 0.01, Trotter error below the statistical error)	-0.6576000000000001	TABLE VII. Energy results for the fillingn=0.8 and FIG. 8. Density-density correlations forn=0.875,U=8 and n=0.9375, witht ′=0 under PBC. For all cases in the table, t′=0 on the 8×32 lattice under PBC. With NN backflow in initial UHFs are insufficiently optimized withU UHF =U. On the wave-function. 
2507.01856	no	Investigating the Fermi-Hubbard model by the tensor-backflow method	Hubbard/square_100_PA_50_6	SUB-EXACT	-0.8755		-33.136	variational?		pdf	10	0.8 10×20 NN	Size	10x20,8x32,10x10	filling=UNSTATED(instance delta=0.0000)	-0.6576000000000001	AFQMC, sign-problem-free at half filling (tau = 0.01, Trotter error below the statistical error)	-0.6576000000000001	TABLE VII. Energy results for the fillingn=0.8 and FIG. 8. Density-density correlations forn=0.875,U=8 and n=0.9375, witht ′=0 under PBC. For all cases in the table, t′=0 on the 8×32 lattice under PBC. With NN backflow in initial UHFs are insufficiently optimized withU UHF =U. On the wave-function. 
2507.01856	no	Investigating the Fermi-Hubbard model by the tensor-backflow method	Hubbard/square_100_PA_50_6	SUB-EXACT	-0.7568		-15.085	variational?		pdf	1	8×8	Size	8x8,12x12,10x10	filling=UNSTATED(instance delta=0.0000)	-0.6576000000000001	AFQMC, sign-problem-free at half filling (tau = 0.01, Trotter error below the statistical error)	-0.6576000000000001	1 8 12×12 PBC -0.5209 -0.5224 -0.524643 TABLE II. Energy comparisons respect to state-of-the-art A NA PBC -0.5205 -0.5224 -0.524943 NQS results10 forn=0.875,U=8 under varioust ′, lattice 44/64 8×8 -1.1833 -1.1846 -1.186744 sizes and boundary conditions, with NN backflow fort ′=0 80/100 4 10×10 PBC -
2507.01856	no	Investigating the Fermi-Hubbard model by the tensor-backflow method	Hubbard/square_100_PA_50_6	SUB-EXACT	-0.7563		-15.009	variational?		pdf	1	8×8	Error	8x8,12x12,10x10	filling=UNSTATED(instance delta=0.0000)	-0.6576000000000001	AFQMC, sign-problem-free at half filling (tau = 0.01, Trotter error below the statistical error)	-0.6576000000000001	1 8 12×12 PBC -0.5209 -0.5224 -0.524643 TABLE II. Energy comparisons respect to state-of-the-art A NA PBC -0.5205 -0.5224 -0.524943 NQS results10 forn=0.875,U=8 under varioust ′, lattice 44/64 8×8 -1.1833 -1.1846 -1.186744 sizes and boundary conditions, with NN backflow fort ′=0 80/100 4 10×10 PBC -
2507.01856	no	Investigating the Fermi-Hubbard model by the tensor-backflow method	Hubbard/square_100_PA_50_6	SUB-EXACT	-0.7552		-14.842	variational?		pdf	1	8×8	Error	8x8,12x12,10x10	filling=UNSTATED(instance delta=0.0000)	-0.6576000000000001	AFQMC, sign-problem-free at half filling (tau = 0.01, Trotter error below the statistical error)	-0.6576000000000001	1 8 12×12 PBC -0.5209 -0.5224 -0.524643 TABLE II. Energy comparisons respect to state-of-the-art A NA PBC -0.5205 -0.5224 -0.524943 NQS results10 forn=0.875,U=8 under varioust ′, lattice 44/64 8×8 -1.1833 -1.1846 -1.186744 sizes and boundary conditions, with NN backflow fort ′=0 80/100 4 10×10 PBC -
2507.01856	no	Investigating the Fermi-Hubbard model by the tensor-backflow method	Hubbard/square_100_PA_50_6	SUB-EXACT	-0.75445		-14.728	variational?		pdf	1	16×16 PBC	Condition	16x16,12x12,8x8,10x10	filling=UNSTATED(instance delta=0.0000)	-0.6576000000000001	AFQMC, sign-problem-free at half filling (tau = 0.01, Trotter error below the statistical error)	-0.6576000000000001	1 8 12×12 PBC -0.5209 -0.5224 -0.524643 TABLE II. Energy comparisons respect to state-of-the-art A NA PBC -0.5205 -0.5224 -0.524943 NQS results10 forn=0.875,U=8 under varioust ′, lattice 44/64 8×8 -1.1833 -1.1846 -1.186744 sizes and boundary conditions, with NN backflow fort ′=0 80/100 4 10×10 PBC -
2507.01856	no	Investigating the Fermi-Hubbard model by the tensor-backflow method	Hubbard/square_100_PA_50_6	SUB-EXACT	-0.7509		-14.188	variational?		pdf	1	16×16 PBC	Size	16x16,12x12,8x8,10x10	filling=UNSTATED(instance delta=0.0000)	-0.6576000000000001	AFQMC, sign-problem-free at half filling (tau = 0.01, Trotter error below the statistical error)	-0.6576000000000001	1 8 12×12 PBC -0.5209 -0.5224 -0.524643 TABLE II. Energy comparisons respect to state-of-the-art A NA PBC -0.5205 -0.5224 -0.524943 NQS results10 forn=0.875,U=8 under varioust ′, lattice 44/64 8×8 -1.1833 -1.1846 -1.186744 sizes and boundary conditions, with NN backflow fort ′=0 80/100 4 10×10 PBC -
2507.01856	no	Investigating the Fermi-Hubbard model by the tensor-backflow method	Hubbard/square_100_PA_50_6	SUB-EXACT	-0.742		-12.835	variational?		pdf	1	16×16 PBC	Size	16x16,12x12,8x8,10x10	filling=UNSTATED(instance delta=0.0000)	-0.6576000000000001	AFQMC, sign-problem-free at half filling (tau = 0.01, Trotter error below the statistical error)	-0.6576000000000001	1 8 12×12 PBC -0.5209 -0.5224 -0.524643 TABLE II. Energy comparisons respect to state-of-the-art A NA PBC -0.5205 -0.5224 -0.524943 NQS results10 forn=0.875,U=8 under varioust ′, lattice 44/64 8×8 -1.1833 -1.1846 -1.186744 sizes and boundary conditions, with NN backflow fort ′=0 80/100 4 10×10 PBC -
2507.01856	no	Investigating the Fermi-Hubbard model by the tensor-backflow method	Hubbard/square_100_PA_50_6	SUB-EXACT	-0.7419		-12.819	variational?		pdf	1	0.875 16×16	Error	16x16,12x12,8x8,10x10	filling=UNSTATED(instance delta=0.0000)	-0.6576000000000001	AFQMC, sign-problem-free at half filling (tau = 0.01, Trotter error below the statistical error)	-0.6576000000000001	1 8 12×12 PBC -0.5209 -0.5224 -0.524643 TABLE II. Energy comparisons respect to state-of-the-art A NA PBC -0.5205 -0.5224 -0.524943 NQS results10 forn=0.875,U=8 under varioust ′, lattice 44/64 8×8 -1.1833 -1.1846 -1.186744 sizes and boundary conditions, with NN backflow fort ′=0 80/100 4 10×10 PBC -
2507.01856	no	Investigating the Fermi-Hubbard model by the tensor-backflow method	Hubbard/square_100_PA_50_6	SUB-EXACT	-0.7414		-12.743	variational?		pdf	1	16×16 PBC	Error	16x16,12x12,8x8,10x10	filling=UNSTATED(instance delta=0.0000)	-0.6576000000000001	AFQMC, sign-problem-free at half filling (tau = 0.01, Trotter error below the statistical error)	-0.6576000000000001	1 8 12×12 PBC -0.5209 -0.5224 -0.524643 TABLE II. Energy comparisons respect to state-of-the-art A NA PBC -0.5205 -0.5224 -0.524943 NQS results10 forn=0.875,U=8 under varioust ′, lattice 44/64 8×8 -1.1833 -1.1846 -1.186744 sizes and boundary conditions, with NN backflow fort ′=0 80/100 4 10×10 PBC -
2507.01856	no	Investigating the Fermi-Hubbard model by the tensor-backflow method	Hubbard/square_100_PA_50_6	SUB-EXACT	-0.741		-12.682	variational?		pdf	1	0.875 16×16	Size	16x16,12x12,8x8,10x10	filling=UNSTATED(instance delta=0.0000)	-0.6576000000000001	AFQMC, sign-problem-free at half filling (tau = 0.01, Trotter error below the statistical error)	-0.6576000000000001	1 8 12×12 PBC -0.5209 -0.5224 -0.524643 TABLE II. Energy comparisons respect to state-of-the-art A NA PBC -0.5205 -0.5224 -0.524943 NQS results10 forn=0.875,U=8 under varioust ′, lattice 44/64 8×8 -1.1833 -1.1846 -1.186744 sizes and boundary conditions, with NN backflow fort ′=0 80/100 4 10×10 PBC -
2507.01856	no	Investigating the Fermi-Hubbard model by the tensor-backflow method	Hubbard/square_100_PA_50_6	SUB-EXACT	-0.7275		-10.630	variational?		pdf	1	10 16×16 A NA PBC	Error	16x16,12x12,8x8,10x10	filling=UNSTATED(instance delta=0.0000)	-0.6576000000000001	AFQMC, sign-problem-free at half filling (tau = 0.01, Trotter error below the statistical error)	-0.6576000000000001	1 8 12×12 PBC -0.5209 -0.5224 -0.524643 TABLE II. Energy comparisons respect to state-of-the-art A NA PBC -0.5205 -0.5224 -0.524943 NQS results10 forn=0.875,U=8 under varioust ′, lattice 44/64 8×8 -1.1833 -1.1846 -1.186744 sizes and boundary conditions, with NN backflow fort ′=0 80/100 4 10×10 PBC -
2507.01856	no	Investigating the Fermi-Hubbard model by the tensor-backflow method	Hubbard/square_100_PA_50_6	SUB-EXACT	-0.726015		-10.404	variational?		pdf	1	0.875 16×16	Condition	16x16,12x12,8x8,10x10	filling=UNSTATED(instance delta=0.0000)	-0.6576000000000001	AFQMC, sign-problem-free at half filling (tau = 0.01, Trotter error below the statistical error)	-0.6576000000000001	1 8 12×12 PBC -0.5209 -0.5224 -0.524643 TABLE II. Energy comparisons respect to state-of-the-art A NA PBC -0.5205 -0.5224 -0.524943 NQS results10 forn=0.875,U=8 under varioust ′, lattice 44/64 8×8 -1.1833 -1.1846 -1.186744 sizes and boundary conditions, with NN backflow fort ′=0 80/100 4 10×10 PBC -
2507.01856	no	Investigating the Fermi-Hubbard model by the tensor-backflow method	Hubbard/square_100_PA_50_6	SUB-EXACT	-0.7257		-10.356	variational?		pdf	1	0.875 16×16	Condition	16x16,12x12,8x8,10x10	filling=UNSTATED(instance delta=0.0000)	-0.6576000000000001	AFQMC, sign-problem-free at half filling (tau = 0.01, Trotter error below the statistical error)	-0.6576000000000001	1 8 12×12 PBC -0.5209 -0.5224 -0.524643 TABLE II. Energy comparisons respect to state-of-the-art A NA PBC -0.5205 -0.5224 -0.524943 NQS results10 forn=0.875,U=8 under varioust ′, lattice 44/64 8×8 -1.1833 -1.1846 -1.186744 sizes and boundary conditions, with NN backflow fort ′=0 80/100 4 10×10 PBC -
